ticker,definition,signal_date,classification,success_70_10,recovery_20,recovery_25,recovery_30,recovery_35,recovery_40,rsi_change_3,rsi_change_5,rsi_change_10,volume_s1,volume_first,rsi_first
HBIO,C_20_in_1_3,2026-04-15,temporary_spike,False,S-20,S-20,S-20,S-20,S-15,9.949293042146962,-8.73970111135219,3.7014653495274743,1.0962677317173943,S-20,S-20
HBIO,D_rapid_expansion,2026-04-15,temporary_spike,False,S-20,S-20,S-20,S-20,S-15,9.949293042146962,-8.73970111135219,3.7014653495274743,1.0962677317173943,S-20,S-20
HBIO,E_base_breakout,2026-04-20,no_significant_move,False,S-20,S-20,S-20,S-20,S-20,4.046506307138252,18.46774603081385,5.863744741376735,0.6114756386988692,S-5,S-20
MASK,A_10_from_low,2026-03-16,no_significant_move,False,S-20,S-20,S-20,S-20,,2.740118925649007,2.058600472179954,6.064361627621032,6.4453125,S-2,S-20
MASK,B_20_from_low,2026-03-31,temporary_spike,False,S-20,S-20,S-20,S-15,,-4.683367469653859,-5.077188600148148,-10.630659161566143,0.7482934430137148,S-10,S-20
MASK,C_20_in_1_3,2026-03-31,temporary_spike,False,S-20,S-20,S-20,S-15,,-4.683367469653859,-5.077188600148148,-10.630659161566143,0.7482934430137148,S-10,S-20
MASK,D_rapid_expansion,2026-03-31,temporary_spike,False,S-20,S-20,S-20,S-15,,-4.683367469653859,-5.077188600148148,-10.630659161566143,0.7482934430137148,S-10,S-20
MASK,E_base_breakout,2026-05-05,true_explosion,True,S-20,S-20,S-20,S-20,,2.4554996720514595,-1.5139736963488133,3.051307189845758,7.307870386366934,S-1,S-20
SKYQ,A_10_from_low,2026-03-16,gradual_rise,False,S-20,S-20,S-20,S-20,S-20,1.1475685188424976,1.5210097852977924,-19.1303389726205,0.9986016262998916,S-10,S-20
SKYQ,B_20_from_low,2026-03-16,gradual_rise,False,S-20,S-20,S-20,S-20,S-20,1.1475685188424976,1.5210097852977924,-19.1303389726205,0.9986016262998916,S-10,S-20
SKYQ,C_20_in_1_3,2026-03-31,true_explosion,True,S-20,S-20,S-20,S-20,S-20,5.40981052485327,0.051318528696015164,-12.700383551671557,0.2522718481435595,S-20,S-20
SKYQ,D_rapid_expansion,2026-04-02,rapid_move,True,S-20,S-20,S-20,S-20,S-20,1.9109522546988273,7.320762779552098,-7.205989160116651,0.42168112007377007,S-20,S-20
XLO,A_10_from_low,2026-03-16,temporary_spike,False,S-20,S-20,S-20,S-20,S-20,-6.774012691602742,-5.703195593160537,-2.822185899859896,1.0067613174844696,S-2,S-20
XLO,B_20_from_low,2026-03-24,no_significant_move,False,S-20,S-20,S-20,S-20,S-10,9.7112092128677,7.964235898843455,3.032199313199534,0.8802274507732798,S-2,S-20
XLO,E_base_breakout,2026-05-14,no_significant_move,False,S-20,S-20,S-20,S-20,S-20,0.8919418632749512,-0.5199608835766725,0.24402127732834344,0.7059545733578882,S-7,S-20
ZJYL,A_10_from_low,2026-03-16,no_significant_move,False,S-20,S-20,S-20,S-20,S-15,-11.650415133540903,-19.113273876166225,-10.574201864337681,2.4342445964730572,S-7,S-20
ZJYL,B_20_from_low,2026-04-06,temporary_spike,False,S-20,S-20,S-20,S-20,S-20,-4.4719155823932795,5.099140648648131,0.9022041417380109,0.7271353084135289,S-15,S-20
ZJYL,E_base_breakout,2026-05-04,gradual_rise,False,S-20,S-20,S-20,S-20,S-15,4.285747507625366,0.9443149888567177,10.052405251438387,0.3875573686894442,S-7,S-20
ZJYL,C_20_in_1_3,2026-06-02,no_significant_move,False,S-20,S-20,S-20,S-20,S-20,11.411362121079662,7.636955438322225,3.3393295573523645,16.153527543835427,S-20,S-20
ZJYL,D_rapid_expansion,2026-06-02,no_significant_move,False,S-20,S-20,S-20,S-20,S-20,11.411362121079662,7.636955438322225,3.3393295573523645,16.153527543835427,S-20,S-20
COOK,A_10_from_low,2026-03-18,temporary_spike,False,S-20,S-20,S-20,S-20,S-20,-3.489016162127456,2.7876595295173416,-7.153251121665605,1.1224785782042537,S-7,S-20
COOK,B_20_from_low,2026-03-18,temporary_spike,False,S-20,S-20,S-20,S-20,S-20,-3.489016162127456,2.7876595295173416,-7.153251121665605,1.1224785782042537,S-7,S-20
COOK,C_20_in_1_3,2026-04-15,no_significant_move,False,S-20,S-20,S-20,S-10,S-10,3.8210330032191777,4.328212092902113,11.283446448203684,1.0869033579879244,,S-20
COOK,E_base_breakout,2026-04-16,no_significant_move,False,S-20,S-20,S-20,S-20,S-20,13.106238514791173,9.346521165735993,19.895349660790572,0.8655666756829862,S-20,S-20
COOK,D_rapid_expansion,2026-05-19,temporary_spike,False,S-20,S-20,S-20,S-20,S-20,5.219264074858195,10.361838847356324,11.132304481826317,5.556396669190008,S-2,S-20
CIIT,A_10_from_low,2026-03-23,no_significant_move,False,S-20,S-20,S-20,S-20,S-20,0.47077713397833065,-3.061883488913523,-7.563451857031822,0.2711335611350468,S-15,S-20
