ticker,definition,signal_date,classification,relative_day,rsi,rsi_slope,volume_ratio_20,macd_hist
ELPW,A_10_from_low,2026-03-12,Temporary Spike,S,41.983584818237624,0.0025069071796058515,4.308462430182316,165.43522274027487
ELPW,A_10_from_low,2026-03-12,Temporary Spike,S-1,42.05048602576271,0.03526141070358572,1.0910667900621895,143.10458505134534
ELPW,A_10_from_low,2026-03-12,Temporary Spike,S-2,42.15554203093756,-0.012070959496585468,4.767384506460558,115.21137363750563
ELPW,A_10_from_low,2026-03-12,Temporary Spike,S-3,41.976064096698806,-0.06587279127478496,7.302879178331078,79.50968637026835
ELPW,A_10_from_low,2026-03-12,Temporary Spike,S-4,41.94470179365195,-0.07632689229040324,2.7635079572389105,45.01811204233741
ELPW,A_10_from_low,2026-03-12,Temporary Spike,S-5,42.19175490942732,-0.01674944385364796,10.276226549025916,10.866004222879383
ELPW,A_10_from_low,2026-03-12,Temporary Spike,S-6,42.17368247052316,-0.05461717154706728,1.4993642422535693,-33.65316746191229
ELPW,A_10_from_low,2026-03-12,Temporary Spike,S-7,42.17368247052316,-0.11746047977883241,2.313715675057208,-77.38740087814153
ELPW,A_10_from_low,2026-03-12,Temporary Spike,S-10,42.52606390985966,-0.3704220093246822,3.4261287509836027,-177.7952096489105
ELPW,A_10_from_low,2026-03-12,Temporary Spike,S-15,43.86789778554667,-0.03539647311334212,0.07765012888648441,-484.932032334782
ELPW,A_10_from_low,2026-03-12,Temporary Spike,S-20,44.3658883252627,-0.3664563094307856,0.2266989361516898,-631.2728495707188
ELPW,B_20_from_low,2026-03-13,No Significant Move,S,42.25609243913956,0.03351680273399893,7.36671147078344,188.87731796599496
ELPW,B_20_from_low,2026-03-13,No Significant Move,S-1,41.983584818237624,0.0025069071796058515,4.308462430182316,165.43522274027487
ELPW,B_20_from_low,2026-03-13,No Significant Move,S-2,42.05048602576271,0.03526141070358572,1.0910667900621895,143.10458505134534
ELPW,B_20_from_low,2026-03-13,No Significant Move,S-3,42.15554203093756,-0.012070959496585468,4.767384506460558,115.21137363750563
ELPW,B_20_from_low,2026-03-13,No Significant Move,S-4,41.976064096698806,-0.06587279127478496,7.302879178331078,79.50968637026835
ELPW,B_20_from_low,2026-03-13,No Significant Move,S-5,41.94470179365195,-0.07632689229040324,2.7635079572389105,45.01811204233741
ELPW,B_20_from_low,2026-03-13,No Significant Move,S-6,42.19175490942732,-0.01674944385364796,10.276226549025916,10.866004222879383
ELPW,B_20_from_low,2026-03-13,No Significant Move,S-7,42.17368247052316,-0.05461717154706728,1.4993642422535693,-33.65316746191229
ELPW,B_20_from_low,2026-03-13,No Significant Move,S-10,42.33753398516436,-0.48408868628986806,2.3472671845063378,-151.638898486809
ELPW,B_20_from_low,2026-03-13,No Significant Move,S-15,43.787007141588205,-0.06362143033674054,0.047434856660777104,-407.5888869557159
ELPW,B_20_from_low,2026-03-13,No Significant Move,S-20,44.549723360195756,-0.25382145411014534,1.010983194389308,-633.809131292445
ELPW,C_20_in_1_3,2026-04-08,Gradual Rise,S,42.030388612859646,0.10464067472777572,10.69298031550284,156.62054449798512
ELPW,C_20_in_1_3,2026-04-08,Gradual Rise,S-1,41.61731418899958,-0.048049578285760695,0.09625810253388332,162.51791104705893
ELPW,C_20_in_1_3,2026-04-08,Gradual Rise,S-2,41.65326311883884,-0.04357813653674233,0.11601273015449044,170.69237663738386
ELPW,C_20_in_1_3,2026-04-08,Gradual Rise,S-3,41.71646658867632,-0.00582758788700725,0.05946185916760735,178.83332308559977
ELPW,C_20_in_1_3,2026-04-08,Gradual Rise,S-4,41.76146292385686,-0.005651613114984855,0.05952276051671572,186.49406636091646
ELPW,C_20_in_1_3,2026-04-08,Gradual Rise,S-5,41.78399752844906,-0.014521541713998923,0.03317391908496002,193.58152662202576
ELPW,C_20_in_1_3,2026-04-08,Gradual Rise,S-6,41.73394935233734,-0.03842186063827313,0.057640126345773764,200.1146395101266
ELPW,C_20_in_1_3,2026-04-08,Gradual Rise,S-7,41.778417763201816,-0.04000958985839276,0.06300557629393731,206.79138914636394
ELPW,C_20_in_1_3,2026-04-08,Gradual Rise,S-10,41.898446532776994,0.01805353613420853,0.05098122107977222,220.41611403358138
ELPW,C_20_in_1_3,2026-04-08,Gradual Rise,S-15,42.02238472583702,0.012933302533132482,0.26358345326901994,214.41168539793193
ELPW,C_20_in_1_3,2026-04-08,Gradual Rise,S-20,42.15554203093756,-0.012070959496585468,4.767384506460558,115.21137363750563
ELPW,D_rapid_expansion,2026-04-08,Gradual Rise,S,42.030388612859646,0.10464067472777572,10.69298031550284,156.62054449798512
ELPW,D_rapid_expansion,2026-04-08,Gradual Rise,S-1,41.61731418899958,-0.048049578285760695,0.09625810253388332,162.51791104705893
ELPW,D_rapid_expansion,2026-04-08,Gradual Rise,S-2,41.65326311883884,-0.04357813653674233,0.11601273015449044,170.69237663738386
ELPW,D_rapid_expansion,2026-04-08,Gradual Rise,S-3,41.71646658867632,-0.00582758788700725,0.05946185916760735,178.83332308559977
ELPW,D_rapid_expansion,2026-04-08,Gradual Rise,S-4,41.76146292385686,-0.005651613114984855,0.05952276051671572,186.49406636091646
ELPW,D_rapid_expansion,2026-04-08,Gradual Rise,S-5,41.78399752844906,-0.014521541713998923,0.03317391908496002,193.58152662202576
ELPW,D_rapid_expansion,2026-04-08,Gradual Rise,S-6,41.73394935233734,-0.03842186063827313,0.057640126345773764,200.1146395101266
ELPW,D_rapid_expansion,2026-04-08,Gradual Rise,S-7,41.778417763201816,-0.04000958985839276,0.06300557629393731,206.79138914636394
ELPW,D_rapid_expansion,2026-04-08,Gradual Rise,S-10,41.898446532776994,0.01805353613420853,0.05098122107977222,220.41611403358138
ELPW,D_rapid_expansion,2026-04-08,Gradual Rise,S-15,42.02238472583702,0.012933302533132482,0.26358345326901994,214.41168539793193
ELPW,D_rapid_expansion,2026-04-08,Gradual Rise,S-20,42.15554203093756,-0.012070959496585468,4.767384506460558,115.21137363750563
ZNB,A_10_from_low,2026-03-12,No Significant Move,S,25.299572344363114,-2.3418507887063384,2.323797261229362,-0.06533478841021179
ZNB,A_10_from_low,2026-03-12,No Significant Move,S-1,26.573517073255502,-2.399372186372583,3.218921923959973,2.552528413647167
ZNB,A_10_from_low,2026-03-12,No Significant Move,S-2,29.59488727835371,-1.6310931966771989,0.8240585238108793,5.763887382016378
