ticker,definition,signal_date,paper_signal,target,features_pre_signal_only,status
DGNX,D_rapid_expansion,2026-05-28,True,+70%,True,PAPER_SIGNAL_RESEARCH
UK,B_20_from_low,2026-05-01,True,+70%,True,PAPER_SIGNAL_RESEARCH
ERNA,C_20_in_1_3,2026-05-07,True,+70%,True,PAPER_SIGNAL_RESEARCH
ERNA,D_rapid_expansion,2026-05-07,True,+70%,True,PAPER_SIGNAL_RESEARCH
FCHL,C_20_in_1_3,2026-05-14,True,+70%,True,PAPER_SIGNAL_RESEARCH
CHSN,C_20_in_1_3,2026-06-10,True,+70%,True,PAPER_SIGNAL_RESEARCH
CHSN,D_rapid_expansion,2026-06-10,True,+70%,True,PAPER_SIGNAL_RESEARCH
OLOX,D_rapid_expansion,2026-05-29,True,+70%,True,PAPER_SIGNAL_RESEARCH
OLOX,E_base_breakout,2026-05-29,True,+70%,True,PAPER_SIGNAL_RESEARCH
PARA,A_10_from_low,2026-05-08,True,+70%,True,PAPER_SIGNAL_RESEARCH
PARA,B_20_from_low,2026-05-11,True,+70%,True,PAPER_SIGNAL_RESEARCH
PARA,C_20_in_1_3,2026-05-15,True,+70%,True,PAPER_SIGNAL_RESEARCH
SLMT,C_20_in_1_3,2026-05-22,True,+70%,True,PAPER_SIGNAL_RESEARCH
SLMT,D_rapid_expansion,2026-07-13,True,+70%,True,PAPER_SIGNAL_RESEARCH
SLMT,E_base_breakout,2026-07-13,True,+70%,True,PAPER_SIGNAL_RESEARCH
ADTX,C_20_in_1_3,2026-06-22,True,+70%,True,PAPER_SIGNAL_RESEARCH
ADTX,D_rapid_expansion,2026-06-22,True,+70%,True,PAPER_SIGNAL_RESEARCH
FRGT,B_20_from_low,2026-05-19,True,+70%,True,PAPER_SIGNAL_RESEARCH
FRGT,C_20_in_1_3,2026-05-21,True,+70%,True,PAPER_SIGNAL_RESEARCH
MI,A_10_from_low,2026-05-18,True,+70%,True,PAPER_SIGNAL_RESEARCH
MI,B_20_from_low,2026-05-18,True,+70%,True,PAPER_SIGNAL_RESEARCH
RETO,C_20_in_1_3,2026-06-10,True,+70%,True,PAPER_SIGNAL_RESEARCH
RETO,D_rapid_expansion,2026-06-10,True,+70%,True,PAPER_SIGNAL_RESEARCH
RETO,E_base_breakout,2026-06-10,True,+70%,True,PAPER_SIGNAL_RESEARCH
IPW,B_20_from_low,2026-06-09,True,+70%,True,PAPER_SIGNAL_RESEARCH
LNAI,D_rapid_expansion,2026-06-17,True,+70%,True,PAPER_SIGNAL_RESEARCH
LNAI,E_base_breakout,2026-06-17,True,+70%,True,PAPER_SIGNAL_RESEARCH
LZMH,C_20_in_1_3,2026-06-09,True,+70%,True,PAPER_SIGNAL_RESEARCH
LZMH,D_rapid_expansion,2026-06-09,True,+70%,True,PAPER_SIGNAL_RESEARCH
LZMH,E_base_breakout,2026-07-22,True,+70%,True,PAPER_SIGNAL_RESEARCH
PRTS,C_20_in_1_3,2026-08-07,True,+70%,True,PAPER_SIGNAL_RESEARCH
PRTS,D_rapid_expansion,2026-08-07,True,+70%,True,PAPER_SIGNAL_RESEARCH
PRTS,E_base_breakout,2026-08-07,True,+70%,True,PAPER_SIGNAL_RESEARCH
VSA,C_20_in_1_3,2026-06-02,True,+70%,True,PAPER_SIGNAL_RESEARCH
VSA,D_rapid_expansion,2026-06-02,True,+70%,True,PAPER_SIGNAL_RESEARCH
