feature,rule,threshold,p_value,signals,successes,failures,success_rate,success_rate_ci95_clustered,base_rate_all_rows,lift,odds_ratio,fisher_p_value,relative_risk,median_return_20,mean_return_20,tickers,q_value_bh,significant_bh_05
rsi_pre,bottom_10,21.320316468300152,0.8947513819164474,113,18,95,0.1592920353982301,"[0.07625119923249121, 0.24753321485994753]",0.16725352112676056,0.952398695854681,0.937454100367197,0.8947513819164474,0.952398695854681,27.590844700680073,111.01939396834034,43,0.9410316258086775,False
rsi_pre,bottom_20,25.70526090431342,0.6194249154327092,227,35,192,0.15418502202643172,"[0.08971674876847291, 0.22326153981677235]",0.16725352112676056,0.921864131694876,0.886760752688172,0.6194249154327092,0.921864131694876,22.87581897952171,99.93215533458199,83,0.7875270444077397,False
rsi_pre,bottom_30,29.465277189164105,0.2971655751251492,339,63,276,0.18584070796460178,"[0.12683820162988738, 0.2478087673485178]",0.16725352112676056,1.1111318118304612,1.2042108866826429,0.2971655751251492,1.1111318118304612,23.348016556962612,102.25796023367636,126,0.5035305578509472,False
rsi_pre,median,35.4137488514864,0.13196749485692133,565,104,461,0.184070796460177,"[0.13948820316865232, 0.23090690736245956]",0.16725352112676056,1.1005496040987424,1.272259496544418,0.13196749485692133,1.1005496040987424,23.348016556962612,87.0716955617151,183,0.30377423344423404,False
rsi_pre,top_30,41.86033289570919,0.2596289124911778,339,50,289,0.14749262536873156,"[0.09808379911228012, 0.2042297812029409]",0.16725352112676056,0.8818506443098898,0.8119130004943154,0.2596289124911778,0.8818506443098898,20.102220241583414,92.91070740008989,142,0.4799201109685408,False
rsi_pre,top_20,46.64384895643391,0.19594468473472476,227,31,196,0.13656387665198239,"[0.07920792079207921, 0.19915584415584414]",0.16725352112676056,0.8165082309297473,0.7460531382364266,0.19594468473472476,0.8165082309297473,17.998696831031413,100.24992279561866,95,0.40468481590203853,False
rsi_pre,top_10,54.56063441724651,0.43176212663313285,116,16,100,0.13793103448275862,"[0.05713704994192799, 0.2376447067783701]",0.16725352112676056,0.8246823956442831,0.7779310344827586,0.43176212663313285,0.8246823956442831,18.749351038120075,72.61727985063648,53,0.6503083882622495,False
rsi_change_1,bottom_10,-4.936443766466979,0.428674450936664,114,22,92,0.19298245614035087,"[0.10613416263149107, 0.29246909564085877]",0.16725352112676056,1.153831948291782,1.2155797101449275,0.428674450936664,1.153831948291782,28.536989851572123,100.13878371587404,74,0.6503083882622495,False
rsi_change_1,bottom_20,-2.0578667370972226,0.1111009749701755,226,46,180,0.20353982300884957,"[0.1333119658119658, 0.27826189499589826]",0.16725352112676056,1.216953889147648,1.3594135802469136,0.1111009749701755,1.216953889147648,29.45221519678106,88.94017730453102,135,0.27661875400737573,False
rsi_change_1,bottom_30,-0.5661973178481979,0.2971655751251492,339,63,276,0.18584070796460178,"[0.12986765143253692, 0.239800979453568]",0.16725352112676056,1.1111318118304612,1.2042108866826429,0.2971655751251492,1.1111318118304612,28.27585883713233,98.43982245514343,181,0.5035305578509472,False
rsi_change_1,median,0.4665743269889866,0.2336368186339495,564,102,462,0.18085106382978725,"[0.13909741342793602, 0.22183549589758667]",0.16725352112676056,1.0812989921612544,1.2142857142857142,0.2336368186339495,1.0812989921612544,27.063053276143577,92.69424353645017,225,0.44537018552096624,False
