class,n,tickers,rsi_change_S_to_S-5_mean,rsi_change_median,rsi_recovery_rate,mean_return_20
Temporary Spike,334,156,9.622605431940585,7.225125208190342,0.7706422018348624,39.20888616406426
No Significant Move,537,203,10.998277758092886,9.768927034840004,0.8149532710280374,3.661081295785233
Gradual Rise,78,45,5.390867847296279,2.97461225550245,0.782051282051282,261.4388920282876
True Explosion,112,57,12.146228687695952,10.508389019358432,0.7946428571428571,300.8100173103867
Rapid Move,78,46,8.582451420114408,5.771046818996904,0.7435897435897436,323.15984272507745
