hypothesis,thresholds,p_value,signals,successes,failures,success_rate,success_rate_ci95_clustered,base_rate_all_rows,lift,odds_ratio,fisher_p_value,relative_risk,median_return_20,mean_return_20,tickers,q_value_bh,significant_bh_05
H1_RSI_Recovery_Volume_Expansion,{'base_max': 87.68852270184526},0.0038732731219138427,174,43,131,0.2471264367816092,"[0.15957283644432843, 0.3433734939759036]",0.16725352112676056,1.4775559588626739,1.8198577140779977,0.0038732731219138427,1.4775559588626739,33.551794521977115,89.9824629770139,93,0.0077465462438276855,True
H2_RSI_Rising_Base_Price,{'base_max': 87.68852270184526},6.738781857978495e-05,282,26,256,0.09219858156028368,"[0.050536367601095145, 0.1400140562248996]",0.16725352112676056,0.5512504665920119,0.42730564024390244,6.738781857978495e-05,0.5512504665920119,14.285710115126982,44.2437922693213,137,0.0002695512743191398,True
H3_Oversold_Recovery_Price,{'base_max': 87.68852270184526},0.4729405099008346,209,31,178,0.14832535885167464,"[0.0828642117684922, 0.21782178217821782]",0.16725352112676056,0.8868295139763284,0.8412126351494594,0.4729405099008346,0.8868295139763284,17.328520663488778,65.53840916770501,105,0.6305873465344461,False
H4_Volume_Leads_RSI,{'base_max': 87.68852270184526},1.0,62,10,52,0.16129032258064516,"[0.04542929292929293, 0.29411764705882354]",0.16725352112676056,0.9643463497453311,0.9551282051282052,1.0,0.9643463497453311,17.74069208651646,52.916653180329796,37,1.0,False
